time, Quad.Est.E.Pos, Quad.Est.S.Z
3.784908,0.016473,1.253093
3.789908,0.016554,1.254413
3.794907,0.016578,1.256394
3.799907,0.016332,1.257715
3.804907,0.016339,1.259697
3.809906,0.016030,1.261019
3.814906,0.016019,1.263002
3.819906,0.015794,1.264324
3.824905,0.015770,1.266308
3.829905,0.014894,1.267631
3.834904,0.014828,1.269615
3.839904,0.014419,1.270939
3.844904,0.014335,1.272924
3.849903,0.014145,1.274248
3.854903,0.014057,1.276235
3.859903,0.013792,1.277560
3.864902,0.013697,1.279547
3.869902,0.014131,1.280872
3.874902,0.014057,1.282860
3.879901,0.013198,1.284186
3.884901,0.013096,1.286175
3.889900,0.013837,1.287501
3.894900,0.013766,1.289492
3.899900,0.013099,1.290819
3.904899,0.013007,1.292809
3.909899,0.012813,1.294137
3.914899,0.012721,1.296129
3.919898,0.012592,1.297457
3.924898,0.012503,1.299450
3.929898,0.012647,1.300778
3.934897,0.012566,1.302772
3.939897,0.012209,1.304101
3.944896,0.012129,1.306095
3.949896,0.011339,1.307425
3.954896,0.011278,1.309421
3.959895,0.010802,1.310751
3.964895,0.010847,1.312747
3.969895,0.010884,1.314078
3.974894,0.010943,1.316075
3.979894,0.011275,1.317407
3.984894,0.011473,1.319405
3.989893,0.011891,1.320737
3.994893,0.012178,1.322735
3.999892,0.012887,1.324068
4.004892,0.013280,1.326068
4.009892,0.012705,1.327401
4.014892,0.013024,1.329401
4.019891,0.013837,1.330735
4.024891,0.014247,1.332737
4.029891,0.014557,1.334071
4.034890,0.014990,1.336073
4.039890,0.015869,1.337408
4.044889,0.016372,1.339411
4.049889,0.016069,1.340747
4.054889,0.016534,1.342751
4.059888,0.016806,1.344087
4.064888,0.017281,1.346092
4.069888,0.018166,1.347428
4.074887,0.018694,1.349434
4.079887,0.018911,1.350771
4.084887,0.019439,1.352777
4.089886,0.018550,1.354115
4.094886,0.019002,1.356122
4.099885,0.019046,1.357461
4.104885,0.019488,1.359469
4.109885,0.019807,1.360808
4.114884,0.020257,1.362817
4.119884,0.020341,1.364156
4.124884,0.020784,1.366166
4.129883,0.021790,1.367506
